,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,39.10,37.48,1.99,3.28,5.44,12.66,6.10,1.5,20.97,14120000000.0,13660000000.0,21.35,2.14,1.95,11.00,1.95,3590000000.0,1.5,485000000.0,1.12,63.10,1.80,2120000000.0,6.31,1660000000.0,3.94,12.62,42.05,1.5,0.26,85.00,2730000.0,1.10,0.90,2500000.0,N/A
1,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,29.52,16.97,3.62,5.87,22.25,29.67,15.22,1.5,33.42,729960000000.0,733700000000.0,13.39,1.12,3.67,10.84,3.67,70540000000.0,1.5,44460000000.0,7.39,37.90,29.50,32659999999.999996,5.61,36400000000.0,1.13,21.17,125.32,1.5,0.05,62.10,65739999.99999999,1.10,1.10,72720000.0,N/A
2,N/A,N/A,ace,N/A,N/A,N/A,N/A,N/A,25.51,13.21,1.89,1.23,14.88,18.52,2.30,1.5,57.13,36400000000.0,40710000000.0,11.55,1.89,2.12,11.13,2.12,5930000000.0,1.5,2850000000.0,8.42,44.40,6.90,3240000000.0,9.89,7550000000.0,0.44,90.02,111.20,1.5,0.65,92.30,3640000.0,3.30,1.10,3580000.0,N/A
3,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.42,19.98,1.92,10.70,9.84,14.46,16.74,1.5,49.03,59160000000.0,54940000000.0,18.29,2.00,1.78,11.23,1.78,9680000000.0,1.5,3040000000.0,4.71,2.90,5.10,4059999999.9999995,6.49,27220000.0,1.47,8.75,94.18,1.5,0.32,83.30,18320000.0,7.70,2.90,16920000.0,N/A
4,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,28.86,124.07,8.80,5.68,7.20,12.40,3.11,1.5,8.54,37750000000.0,36590000000.0,23.50,2.25,8.60,43.37,8.60,3520000000.0,1.5,306240000.0,0.61,80.40,10.90,3180000000.0,6.35,1900000000.0,2.22,13.21,75.68,1.5,5.31,86.60,3670000.0,1.80,0.80,3180000.0,N/A
5,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,18.95,30.07,6.48,4.06,21.79,30.11,8.57,1.5,9.61,19400000000.0,17430000000.0,19.27,1.93,5.80,16.19,5.80,1830000000.0,1.5,655490000.0,2.07,17.20,22.90,2870000000.0,9.22,911030000.0,6.01,15.42,62.24,1.5,0.91,85.60,5180000.0,3.00,1.70,6130000.0,N/A
6,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,28.99,13.80,0.37,1.54,2.77,3.52,4.07,1.5,124.35,30030000000.0,34110000000.0,13.01,1.57,0.42,9.08,0.42,4770000000.0,1.5,2250000000.0,3.43,87.40,13.50,1610000000.0,2.55,5690000000.0,1.67,30.73,47.35,1.5,2.11,76.20,9520000.0,3.00,1.50,8340000.0,N/A
7,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,0.19,28.87,3.22,7.41,11.42,18.36,3.53,1.5,26.33,40830000000.0,38880000000.0,25.96,2.93,3.09,14.65,3.09,4990000000.0,1.5,1560000000.0,2.98,12.10,6.70,1950000000.0,4.11,10300000.0,1.06,11.51,85.92,1.5,0.14,76.10,5030000.0,2.50,1.00,5490000.0,N/A
8,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,170.33,24.82,2.06,2.32,8.65,21.07,4.43,1.5,19.58,7150000000.0,12340000000.0,18.73,2.98,3.57,6.91,3.57,1950000000.0,1.5,299000000.0,1.68,6.50,5.70,70000000.0,0.41,5260000000.0,0.67,17.98,41.77,1.5,0.26,111.50,36370000.0,20.40,25.40,36250000.0,N/A
9,N/A,N/A,aet,N/A,N/A,N/A,N/A,N/A,66.04,18.86,0.64,2.58,3.52,7.08,4.98,1.5,163.16,37360000000.0,43080000000.0,13.33,1.57,0.74,9.10,0.74,15090000000.0,1.5,2040000000.0,5.68,37.10,12.10,3890000000.0,11.16,9610000000.0,0.76,41.40,107.15,1.5,0.41,91.60,4300000.0,1.90,1.30,3850000.0,N/A
10,N/A,N/A,aig,N/A,N/A,N/A,N/A,N/A,29.10,10.59,1.18,0.71,11.84,18.06,1.36,1.5,44.53,75680000000.0,93890000000.0,9.88,1.19,1.48,5.89,1.48,30800000000.0,1.5,7580000000.0,5.21,66.90,10.10,13000000000.0,9.47,31220000000.0,2.08,77.69,55.14,1.5,0.06,86.20,16190000.000000002,1.70,1.10,12900000.0,N/A
11,N/A,N/A,all,N/A,N/A,N/A,N/A,N/A,23.29,11.40,0.84,1.45,8.09,13.20,2.51,1.5,81.69,29750000000.0,31750000000.0,11.52,1.84,0.90,6.33,0.90,13130000000.0,1.5,2750000000.0,6.27,0.40,0.40,3200000000.0,7.68,5190000000.0,0.81,49.18,71.45,1.5,0.17,79.80,4800000.0,2.30,1.10,4460000.0,N/A
12,N/A,N/A,altr,N/A,N/A,N/A,N/A,N/A,45.43,28.36,6.60,3.90,24.46,28.12,5.82,1.5,6.24,12970000000.0,11880000000.0,22.33,2.49,6.15,19.50,6.15,1280000000.0,1.5,472660000.0,1.52,12.30,5.60,2580000000.0,8.57,1490000000.0,5.72,10.87,43.10,1.5,0.32,92.50,9820000.0,4.60,3.30,11330000.0,N/A
13,N/A,N/A,amgn,N/A,N/A,N/A,N/A,N/A,119.15,23.27,5.94,4.63,25.71,34.21,6.35,1.5,26.43,118290000000.0,121980000000.0,14.87,1.51,6.08,13.70,6.08,15640000000.0,1.5,5160000000.0,6.70,26.70,6.40,27030000000.0,35.61,30720000000.0,4.95,33.90,155.88,1.5,0.10,82.20,10200000.0,3.30,1.50,10320000.0,N/A
14,N/A,N/A,amp,N/A,N/A,N/A,N/A,N/A,121.06,15.69,1.94,2.94,13.17,29.41,1.54,1.5,64.18,23760000000.0,30040000000.0,11.68,0.79,2.44,7.76,2.44,10310000000.0,1.5,1620000000.0,8.30,43.60,4.80,4980000000.0,27.30,11260000000.0,2.18,44.37,130.19,1.5,0.36,89.60,2920000.0,3.40,1.60,2790000.0,N/A
15,N/A,N/A,amt,N/A,N/A,N/A,N/A,N/A,360.41,48.39,9.33,9.68,20.12,37.87,4.66,1.5,10.36,38390000000.0,52690000000.0,17.60,1.57,12.85,20.61,12.85,3010000000.0,1.5,801020000.0,2.00,80.40,11.10,313490000.0,0.79,14610000000.0,0.49,9.97,96.78,1.5,0.11,96.70,6340000.0,1.60,1.60,5240000.0,N/A
16,N/A,N/A,anf,N/A,N/A,N/A,N/A,N/A,24.75,31.30,0.41,1.11,1.38,4.90,4.28,1.5,52.16,1540000000.0,1370000000.0,18.21,1.41,0.37,3.34,0.37,2580000000.0,1.5,51820000.0,0.71,32.90,13.80,520710000.00000006,7.49,343930000.0,2.40,20.04,22.22,1.5,2.14,108.80,23350000.0,5.10,44.10,19850000.0,N/A
17,N/A,N/A,ann,N/A,N/A,N/A,N/A,N/A,0.59,28.06,0.72,3.57,2.68,5.10,7.71,1.5,56.09,1840000000.0,1630000000.0,17.30,1.71,0.65,6.80,0.65,1290000000.0,1.5,66599999.99999999,1.46,94.40,3.90,207710000.0,4.63,3000000.0,1.81,11.39,40.99,1.5,2.78,94.40,2150000.0,2.40,4.70,2009999.9999999998,N/A
18,N/A,N/A,aon,N/A,N/A,N/A,N/A,N/A,84.18,20.74,2.24,4.10,11.62,16.43,4.11,1.5,41.09,27080000000.0,32060000000.000004,14.17,1.34,2.67,12.48,2.67,12040000000.0,1.5,1380000000.0,4.66,29.30,2.80,599000000.0,2.14,5580000000.0,1.05,23.47,96.63,1.5,0.75,91.10,1820000.0,1.70,0.60,2230000.0,N/A
19,N/A,N/A,apd,N/A,N/A,N/A,N/A,N/A,78.55,31.73,3.08,4.37,9.82,16.30,5.99,1.5,49.01,32360000000.0,38220000000.0,20.63,1.94,3.66,14.36,3.66,2800000000.0,1.5,1020000000.0,4.76,11.90,0.60,264300000.0,1.23,6120000000.0,1.05,34.31,151.04,1.5,0.25,87.60,3410000.0,4.40,1.60,3430000.0,N/A
20,N/A,N/A,arg,N/A,N/A,N/A,N/A,N/A,118.80,21.72,1.50,3.78,7.00,12.27,6.88,1.5,70.85,7950000000.0,10350000000.0,19.92,2.21,1.96,10.67,1.96,2820000000.0,1.5,368720000.0,4.87,12.60,7.20,73590000.0,0.98,2480000000.0,1.21,27.79,105.78,1.5,9.93,83.30,1470000.0,3.20,2.20,1700000.0,N/A
21,N/A,N/A,avy,N/A,N/A,N/A,N/A,N/A,107.79,20.41,0.76,4.49,3.93,7.83,6.91,1.5,67.49,4800000000.0,5700000000.0,14.21,1.88,0.90,8.62,0.90,1650000000.0,1.5,251100000.0,2.60,66.00,1.30,244100000.0,2.70,1150000000.0,1.20,11.79,53.00,1.5,0.45,89.30,3080000.0,5.80,3.40,4830000.0,N/A
22,N/A,N/A,ba,N/A,N/A,N/A,N/A,N/A,103.19,20.23,1.15,12.12,6.00,7.93,4.69,1.5,124.74,105150000000.0,101170000000.0,16.16,1.38,1.12,11.12,1.12,14010000000.0,1.5,5440000000.0,7.38,18.90,2.90,13050000000.0,18.53,9070000000.0,1.20,12.26,149.28,1.5,0.08,9.90,14970000.0,3.20,2.60,13310000.0,N/A
23,N/A,N/A,bbby,N/A,N/A,N/A,N/A,N/A,47.03,15.54,1.18,4.36,8.25,13.19,13.95,1.5,60.52,13980000000.0,14300000000.0,14.14,1.95,1.22,8.00,1.22,4570000000.0,1.5,969710000.0,4.94,5.00,2.70,1180000000.0,6.48,1500000000.0,2.29,17.53,76.80,1.5,8.10,88.40,12990000.0,7.80,6.60,12710000.0,N/A
24,N/A,N/A,bcr,N/A,N/A,N/A,N/A,N/A,81.99,44.66,3.69,6.86,8.86,24.46,10.03,1.5,43.96,12470000000.0,12990000000.0,16.88,1.62,3.91,13.27,3.91,2060000000.0,1.5,289700000.0,3.76,79.90,9.60,960100000.0,12.93,1480000000.0,3.33,24.10,167.93,1.5,0.40,94.00,2190000.0,3.80,3.00,2230000.0,N/A
25,N/A,N/A,bdx,N/A,N/A,N/A,N/A,N/A,200.12,24.26,3.23,5.40,13.58,19.47,6.75,1.5,43.89,27250000000.0,28600000000.0,16.54,3.40,3.38,13.20,3.38,4300000000.0,1.5,1150000000.0,5.82,12.90,1.80,8790000000.0,45.58,10140000000.0,5.82,26.27,141.23,1.5,0.33,86.70,7510000.0,6.60,3.90,7400000.0,N/A
26,N/A,N/A,ben,N/A,N/A,N/A,N/A,N/A,17.17,13.79,3.78,2.77,27.79,37.81,12.40,1.5,13.56,32080000000.0,24810000000.0,13.09,3.14,2.94,7.65,2.94,8439999999.999999,1.5,2330000000.0,3.74,6.20,2.10,9370000000.0,15.07,2100000000.0,5.93,18.57,51.59,1.5,37.10,50.70,9490000.0,5.10,2.40,9170000.0,N/A
27,N/A,N/A,biib,N/A,N/A,N/A,N/A,N/A,5.41,33.34,10.01,8.98,30.25,40.90,18.94,1.5,41.04,96760000000.0,95500000000.0,20.76,1.38,9.85,20.74,9.85,8529999999.999999,1.5,2930000000.0,12.37,93.20,34.30,1850000000.0,7.87,585200000.0,2.11,46.08,412.44,1.5,0.10,92.90,3590000.0,2.80,1.70,3410000.0,N/A
28,N/A,N/A,blk,N/A,N/A,N/A,N/A,N/A,152.55,19.03,5.46,2.21,29.73,40.38,1.22,1.5,65.87,61160000000.0,63010000000.0,15.78,1.34,5.69,13.26,5.69,10850000000.0,1.5,3290000000.0,19.25,3.30,0.30,40130000000.0,240.39,41980000000.0,1.14,163.95,366.40,1.5,2.28,87.70,1440000.0,2.70,1.10,1570000.0,N/A
29,N/A,N/A,bll,N/A,N/A,N/A,N/A,N/A,255.64,21.33,1.13,9.32,5.48,10.73,7.46,1.5,61.87,9670000000.0,12640000000.0,16.72,1.22,1.48,10.54,1.48,1670000000.0,1.5,470000000.0,3.30,39.00,1.80,191400000.0,1.39,3170000000.0,1.15,7.54,70.38,1.5,1.24,77.60,5410000.0,3.40,4.00,4680000.0,N/A
30,N/A,N/A,bmy,N/A,N/A,N/A,N/A,N/A,52.29,52.69,6.65,7.11,12.62,20.09,5.51,1.5,9.58,105100000000.0,105500000000.0,27.61,2.28,6.64,26.25,6.64,11950000000.0,1.5,2000000000.0,1.20,98.20,4.10,7440000000.0,4.47,7840000000.0,1.73,8.94,63.23,1.5,0.13,71.80,25890000.0,4.00,1.60,22670000.0,N/A
31,N/A,N/A,brcm,N/A,N/A,N/A,N/A,N/A,17.60,39.10,3.03,2.82,7.74,14.84,6.53,1.5,14.29,25300000000.0,23280000000.0,13.89,1.37,2.76,14.17,2.76,4330000000.0,1.5,652000000.0,1.08,132.10,0.30,3610000000.0,6.02,1590000000.0,3.27,15.11,42.23,1.5,0.37,85.80,6940000.0,1.40,1.30,5040000.0,N/A
32,N/A,N/A,ca,N/A,N/A,N/A,N/A,N/A,24.37,17.73,3.21,2.46,18.12,28.15,6.86,1.5,10.06,14140000000.0,12850000000.0,12.88,2.26,2.90,9.34,2.90,3860000000.0,1.5,770000000.0,1.80,4.30,3.30,2680000000.0,6.06,1400000000.0,1.34,13.09,31.93,1.5,28.35,62.60,14780000.0,5.90,4.60,13830000.0,N/A
33,N/A,N/A,cam,N/A,N/A,N/A,N/A,N/A,56.61,11.46,0.85,1.94,7.81,12.35,5.90,1.5,50.89,8780000000.0,10240000000.0,16.67,0.94,0.99,6.24,0.99,2920000000.0,1.5,785000000.0,3.96,14.50,2.70,1630000000.0,8.39,3080000000.0,1.77,23.36,45.34,1.5,1.03,97.20,6120000.0,2.20,3.20,5530000.0,N/A
34,N/A,N/A,cat,N/A,N/A,N/A,N/A,N/A,233.53,13.65,0.87,2.88,6.70,10.52,4.28,1.5,89.41,48640000000.0,81610000000.0,15.95,1.75,1.48,9.10,1.48,14790000000.0,1.5,3700000000.0,5.88,24.50,1.10,6320000000.0,10.42,39290000000.0,1.39,27.63,80.24,1.5,0.25,66.10,30610000.0,6.00,5.50,26560000.0,N/A
35,N/A,N/A,cb,N/A,N/A,N/A,N/A,N/A,20.25,11.76,1.66,1.44,14.94,21.84,3.77,1.5,57.87,23390000000.0,25330000000.0,12.92,3.05,1.80,8.11,1.80,7110000000.0,1.5,2100000000.0,8.62,1.90,0.10,1360000000.0,5.91,3300000000.0,0.49,70.11,101.33,1.5,0.31,83.40,9150000.0,8.20,4.00,8860000.0,N/A
36,N/A,N/A,cbg,N/A,N/A,N/A,N/A,N/A,105.33,26.82,1.40,5.59,5.35,8.21,6.34,1.5,27.37,12660000000.0,14280000000.0,17.44,1.60,1.58,14.16,1.58,999700000.0,1.5,484500000.0,1.45,78.20,24.80,804350000.0,2.47,2420000000.0,1.23,6.94,38.89,1.5,1.28,95.90,2089999.9999999998,1.50,0.70,1990000.0,N/A
37,N/A,N/A,cce,N/A,N/A,N/A,N/A,N/A,276.17,17.03,1.27,7.43,8.02,13.31,7.61,1.5,33.46,10560000000.0,14290000000.0,15.66,2.60,1.73,10.19,1.73,2970000000.0,1.5,663000000.0,2.63,17.00,5.30,223000000.0,0.95,3950000000.0,0.94,5.99,44.78,1.5,7.88,86.10,2570000.0,0.90,1.10,1790000.0,N/A
38,N/A,N/A,celg,N/A,N/A,N/A,N/A,N/A,105.37,47.83,11.96,14.05,26.07,35.16,10.97,1.5,9.56,91520000000.0,90840000000.0,18.09,0.93,11.84,29.59,11.84,7280000000.0,1.5,2000000000.0,2.39,186.30,18.80,7550000000.0,9.43,6880000000.0,4.60,8.15,114.31,1.5,0.24,82.10,14540000.0,3.20,1.80,12780000.0,N/A
39,N/A,N/A,cern,N/A,N/A,N/A,N/A,N/A,3.66,48.51,7.55,7.01,15.86,23.04,11.05,1.5,9.68,24930000000.0,23640000000.0,28.76,1.60,7.14,24.57,7.14,2800000000.0,1.5,525429999.99999994,1.50,146.20,16.90,1420000000.0,4.15,130330000.00000001,3.70,10.42,72.77,1.5,11.27,85.60,14450000.0,9.50,4.70,14490000.0,N/A
40,N/A,N/A,chrw,N/A,N/A,N/A,N/A,N/A,105.54,23.39,0.78,10.07,3.34,5.56,15.55,1.5,91.51,10440000000.0,11410000000.0,18.97,2.48,0.85,14.33,0.85,2009999999.9999998,1.5,449710000.0,3.05,21.50,6.50,128940000.0,0.88,1100000000.0,1.34,7.15,71.33,1.5,0.70,82.90,15030000.0,11.20,10.30,13850000.0,N/A
41,N/A,N/A,ci,N/A,N/A,N/A,N/A,N/A,47.36,16.66,0.97,3.14,6.02,10.22,4.05,1.5,132.31,33720000000.0,37290000000.0,13.89,1.37,1.07,9.60,1.07,13580000000.0,1.5,2100000000.0,7.83,29.40,10.10,1580000000.0,6.13,5150000000.0,1.01,41.55,130.47,1.5,2.73,89.20,2780000.0,1.80,1.10,2500000.0,N/A
42,N/A,N/A,cl,N/A,N/A,N/A,N/A,N/A,444.04,29.38,3.63,54.70,12.62,24.33,19.15,1.5,18.88,62890000000.0,67940000000.0,21.33,2.84,3.93,14.62,3.93,10110000000.0,1.5,2180000000.0,2.36,11.30,3.20,1290000000.0,1.42,6150000000.0,1.23,1.26,69.33,1.5,0.28,73.30,8350000.0,3.20,1.00,7370000.0,N/A
43,N/A,N/A,clx,N/A,N/A,N/A,N/A,N/A,950.89,27.86,2.56,51.23,9.26,17.55,13.64,1.5,43.51,14460000000.0,16309999999.999998,22.82,3.52,2.89,14.26,2.89,2360000000.0,1.5,578000000.0,3.96,8.70,2.80,819000000.0,6.24,2670000000.0,1.09,2.15,110.20,1.5,0.25,77.90,7290000.0,9.40,5.70,7000000.0,N/A
44,N/A,N/A,cmcsa,N/A,N/A,N/A,N/A,N/A,89.10,18.11,2.11,2.75,12.19,22.02,5.95,1.5,26.63,147230000000.0,190950000000.0,15.79,1.05,2.78,8.24,2.78,47860000000.0,1.5,8380000000.000001,3.20,0.60,4.80,4510000000.0,1.78,48230000000.0,0.78,20.74,57.94,1.5,0.14,86.80,96580000.0,7.20,4.50,98760000.0,N/A
45,N/A,N/A,cmi,N/A,N/A,N/A,N/A,N/A,20.98,15.17,1.29,3.20,8.59,10.68,8.41,1.5,105.24,24780000000.0,24080000000.0,12.17,1.11,1.25,9.61,1.25,4860000000.0,1.5,1650000000.0,9.02,2.80,10.90,2390000000.0,13.22,1700000000.0,2.25,42.79,136.82,1.5,0.21,83.40,4950000.0,2.70,3.00,3010000.0,N/A
46,N/A,N/A,cnp,N/A,N/A,N/A,N/A,N/A,194.75,14.59,0.97,1.96,6.62,10.13,2.59,1.5,21.47,8910000000.0,16530000000.000002,17.71,12.08,1.79,8.49,1.79,2340000000.0,1.5,611000000.0,1.42,55.80,8.60,1230000000.0,2.86,8860000000.0,0.94,10.58,20.72,1.5,0.62,79.00,7400000.0,1.60,1.80,6760000.0,N/A
47,N/A,N/A,cnx,N/A,N/A,N/A,N/A,N/A,61.71,41.26,1.83,1.20,4.66,9.77,1.85,1.5,15.21,6700000000.0,9810000000.0,23.27,2.91,2.80,10.75,2.80,1500000000.0,1.5,168780000.0,0.71,90.00,11.30,176990000.0,0.77,3290000000.0,1.02,23.15,29.09,1.5,0.78,99.30,22300000.0,6.30,13.10,20490000.0,N/A
48,N/A,N/A,coh,N/A,N/A,N/A,N/A,N/A,0.79,20.40,2.55,4.56,12.65,21.23,16.66,1.5,16.32,11550000000.0,10500000000.0,20.83,5.59,2.34,9.21,2.34,3300000000.0,1.5,568640000.0,2.05,38.30,14.10,1060000000.0,3.86,20000000.0,2.72,9.13,41.86,1.5,0.91,89.30,21360000.0,4.20,7.80,24520000.0,N/A
49,N/A,N/A,col,N/A,N/A,N/A,N/A,N/A,133.74,20.40,2.47,6.83,12.43,18.83,8.52,1.5,38.28,12700000000.0,14880000000.0,16.90,1.64,2.89,12.84,2.89,1510000000.0,1.5,653000000.0,4.70,27.50,16.30,315000000.0,2.38,2500000000.0,1.39,14.07,95.97,1.5,0.41,0.10,3620000.0,4.40,3.10,3540000.0,N/A
50,N/A,N/A,cost,N/A,N/A,N/A,N/A,N/A,48.25,29.67,0.57,6.48,1.96,3.01,6.67,1.5,263.39,66709999999.99999,64290000000.00001,26.56,2.79,0.56,14.14,0.56,14180000000.0,1.5,2260000000.0,5.11,29.20,4.40,7450000000.0,16.94,5030000000.0,0.99,23.19,151.63,1.5,0.81,75.70,5110000.0,2.60,1.20,6800000.0,N/A
51,N/A,N/A,cpb,N/A,N/A,N/A,N/A,N/A,259.64,19.36,1.75,9.52,9.17,14.22,9.22,1.5,26.51,14540000000.0,18270000000.0,18.80,7.35,2.20,12.28,2.20,2900000000.0,1.5,762000000.0,2.41,36.30,2.10,201000000.0,0.65,3930000000.0,0.73,4.89,46.63,1.5,43.55,42.60,13180000.0,6.90,7.50,12920000.0,N/A
52,N/A,N/A,csco,N/A,N/A,N/A,N/A,N/A,35.55,16.21,2.89,2.41,18.00,24.09,7.12,1.5,9.39,138490000000.0,105990000000.0,12.00,1.54,2.20,7.58,2.20,27770000000.0,1.5,8650000000.0,1.67,67.70,7.00,53020000000.0,10.39,20520000000.0,3.39,11.30,27.13,1.5,0.07,74.90,39390000.0,1.40,0.80,41210000.0,N/A
53,N/A,N/A,csx,N/A,N/A,N/A,N/A,N/A,87.17,17.35,2.62,2.97,15.21,28.52,6.97,1.5,12.66,33009999999.999996,41790000000.0,13.94,1.58,3.30,8.77,3.30,8570000000.0,1.5,1930000000.0,1.92,15.30,5.30,961000000.0,0.97,9740000000.0,1.22,11.25,33.32,1.5,0.43,67.40,7010000.0,1.00,0.70,6290000.0,N/A
